model,n_splits,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,brier_mean,brier_std,calibration_gap_pp_mean,calibration_gap_pp_std
7day_logistic_baseline,5,0.8015008762812762,0.04798734036204938,0.8877910350798626,0.054921264597536726,0.45212126295951316,0.08559283008122058,0.14379508584858333,0.031029563025765462,24.60525268458013,4.1998252809924725
7day_logistic_enhanced,5,0.7992234637132697,0.04580701366548427,0.8812134319802769,0.052275518905245046,0.5061972806260103,0.11227444304877826,0.14519406749593916,0.029846694664272325,25.748770640581387,4.420450051292462
polymarket,5,0.7955041838128285,0.04737327221800076,0.8883034927133684,0.044075790358726344,0.41777843977103196,0.05396946277409009,0.13808061357337725,0.02118517564563198,27.570437262850426,3.2389963820986374
