model,n_splits,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,brier_mean,brier_std,calibration_gap_pp_mean,calibration_gap_pp_std
7day_logistic_baseline,5,0.7932240142313663,0.050630100847386124,0.8861463219015023,0.05330919429713593,0.4621154356647185,0.08012927789254871,0.14770377095526524,0.02854260274243898,24.979237957550183,3.999594230053901
7day_logistic_enhanced,5,0.79334349713279,0.0513189367542832,0.8786769471467606,0.0508586310847302,0.5081641065637391,0.10383959662268477,0.1474908897638468,0.02853882708918277,26.310079137764944,4.283390000678186
polymarket,5,0.7955041838128285,0.04737327221800076,0.8883034927133684,0.044075790358726344,0.41777843977103196,0.05396946277409009,0.13808061357337725,0.02118517564563198,27.570437262850426,3.2389963820986374
