model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual
polymarket,0.8532241328941138,0.9321031219381306,0.3368661197000002,0.10592862000128053,22.864815862924935,0.5095732667157896,0.5118955275502769
v1_logreg_rebuilt,0.8476835202030887,0.926891299276354,0.3478907615543705,0.1089920703622659,20.42033267023509,0.49531862197113413,0.5118955275502769
v3_all_suggestions,0.8471025953573024,0.9267574040872911,0.347834943767115,0.1092518123420809,20.551899946037537,0.49269373575804926,0.5118955275502769
