threshold,trades,accuracy,proxy_ev_per_trade
0.5,144542,0.8698233039531762,0.7096466079063529
0.52,142211,0.874622919464739,0.7192458389294785
0.54,139937,0.8793671437861323,0.728734287572265
0.56,137464,0.8843842751556771,0.7387685503113548
0.58,135047,0.8895569690552179,0.7491139381104361
0.6,132640,0.8947979493365501,0.7595958986731007
0.62,130111,0.9000929975175043,0.7701859950350091
0.64,127594,0.9054814489709547,0.7809628979419099
0.66,125195,0.9100123806861297,0.7900247613722599
0.68,122691,0.9146066133620233,0.799213226724047
0.7,120106,0.9192296804489368,0.8084593608978741
0.72,117527,0.9237877253737439,0.8175754507474882
0.74,114782,0.9283772716976529,0.8267545433953063
0.76,111725,0.9331752069814276,0.8363504139628557
0.78,108525,0.9377470628887353,0.8454941257774712
0.8,105100,0.9425784966698383,0.8551569933396769
