split,best_c,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual
1,0.2,0.8077969174977334,0.9201636140958617,0.44048988123729127,0.14281664823039145,24.700173240275397,0.44970587836068643,0.5835222121486854
2,0.2,0.8401969561324978,0.9215162769366886,0.351411750688403,0.11189933463523649,21.34131604096639,0.55782182634749,0.5838182632050134
3,0.2,0.8462977225217295,0.9454577268342359,0.34204535897941535,0.10814539233110633,21.134947592592088,0.5815210288861705,0.7082187259324458
4,0.2,0.8608151158958585,0.9364832178660928,0.34699852036433443,0.10526830660901706,19.892410504546653,0.5573870596664185,0.6461606063934966
5,0.2,0.8541643313529873,0.9470546710651364,0.2943587655956499,0.09468269737634537,18.867352733838473,0.5435021333664036,0.5193363972648806
6,0.2,0.8891299383420872,0.9706705723434884,0.22867779460132853,0.07156845869667008,16.332221479258727,0.434210891348999,0.3958666362183147
7,1.0,0.8525266414575455,0.929641842865257,0.3457753209390288,0.10586184089094203,18.831975124582655,0.41659086364370024,0.4382949467170849
8,0.2,0.8204067562909342,0.9057235178369692,0.44113204543835693,0.13028681464069475,20.646056690111962,0.5175785701698403,0.5609559921866023
9,0.2,0.9137750957409772,0.9563778065564545,0.2663603624942242,0.07024201784328876,15.441399762194944,0.5287310893721663,0.5312753858651503
10,0.2,0.9415278575531304,0.9811835999757743,0.20432823476172698,0.05655552221719272,15.393722652236939,0.4407581163977354,0.4460654796094199
11,0.2,0.9501691093573844,0.9867681618901131,0.17908312207738392,0.04825874297564234,13.734571704094552,0.456883910459892,0.4160090191657272
12,0.2,0.9053073259242459,0.9658650078382529,0.2454851043232014,0.07311423177472924,16.793877547180813,0.46905378750776594,0.4779995463823996
13,0.2,0.8335393953017871,0.9245305465458242,0.333626485356188,0.11042554159449205,21.196966035857283,0.4048685174973349,0.39327863324716195
14,0.2,0.844688559074442,0.9415300277965084,0.29783870099857984,0.09905965580756158,18.572778473917335,0.42432887333798613,0.4096061703868178
15,2.0,0.8425424340917299,0.9254220915689211,0.3499226922809452,0.11150664450288433,20.643643313445512,0.48832893815897715,0.46936318767304686
16,0.5,0.8413245946878234,0.9284714941639632,0.34483283628550193,0.11078724509246184,21.619297960195325,0.49443257766062054,0.45199494078417846
17,2.0,0.8622485207100592,0.954006131641034,0.2875837532333322,0.0920894698561723,18.945201116328807,0.5639883181951526,0.5153846153846153
18,1.0,0.8718555417185554,0.966002886602246,0.28296064963594225,0.08963544693408944,18.399017832551444,0.6281307472761906,0.5455790784557908
19,1.0,0.9166367659370889,0.9698239601772395,0.23305333678720458,0.0679202301204324,15.927409456590919,0.5298023543615682,0.5058007415380935
20,1.0,0.916409023245162,0.9699517685310035,0.22229757438563116,0.06409049616907903,14.44429258224815,0.47599439836811047,0.47612504294057023
21,1.0,0.8915883566353426,0.9501017418978774,0.2927154604091512,0.08591976449696527,17.072913039172985,0.5125168575911552,0.5553518221407289
22,2.0,0.8407232523321433,0.8918927781226621,0.4303836306123778,0.13030974106689655,22.349855589561393,0.45698562359468964,0.49522054589427617
23,1.0,0.7771886281588448,0.8588337570727265,0.5221773270856163,0.1663386477610754,26.179307682352277,0.4599435579314452,0.5236913357400722
24,2.0,0.78996138996139,0.9064231803541813,0.4613729691916082,0.14833178119055762,23.505588584987038,0.4518160020764435,0.5621621621621622
25,1.0,0.870256759827312,0.9492874241990639,0.28229344044094346,0.0907487653789474,17.68429339827057,0.42927025296556587,0.4467166553056124
26,0.2,0.8838605402909259,0.9563183672941217,0.2958314064643634,0.09062542868226665,17.58291618798457,0.4771836291309545,0.552990071577003
27,0.2,0.8280325856489231,0.9426556113747102,0.38036465175593404,0.1234612255084498,22.921180681816857,0.5259072788091409,0.6663318826023882
28,0.2,0.8213849060798044,0.9161053373097459,0.37347144461255855,0.12278322468252487,23.011111530422347,0.4947658079948169,0.5421807269089697
29,0.2,0.8392379679144385,0.9159382551535895,0.39935233489575067,0.12138715419445055,21.945377766271157,0.5349472494650415,0.4789438502673797
30,0.2,0.8149944873208379,0.891994525930154,0.43312685069149026,0.1355416543572125,23.456071670507665,0.6012555646336966,0.5619625137816979
31,2.0,0.7892401552967276,0.886640846496861,0.43656513223852056,0.1453124754742517,24.95962458976366,0.5267072746409107,0.562063227953411
32,1.0,0.7389911929543634,0.8512201958657128,0.5300730052002395,0.17417043604185764,28.858273292253212,0.4503819851706039,0.5413473636051699
33,0.5,0.7190409683426443,0.8287494380453142,0.5340777428389719,0.17820783997119313,30.00995060091716,0.43745239660153634,0.4585661080074488
34,0.2,0.7945446031374386,0.8942635739593155,0.3949466068354834,0.13006946867773117,25.586455124829012,0.42907985363665446,0.3555373448841021
