threshold,trades,accuracy,proxy_ev_per_trade
0.5,144502,0.870237090144081,0.7104741802881626
0.52,142130,0.8751706184478998,0.7203412368958001
0.54,139747,0.8802192533650096,0.7304385067300196
0.56,137343,0.8852872006582061,0.7405744013164126
0.58,134902,0.8901276482187069,0.7502552964374144
0.6,132386,0.8954874382487574,0.7609748764975154
0.62,129999,0.9003146178047523,0.7706292356095051
0.64,127488,0.9057401480923695,0.7814802961847395
0.66,125077,0.9102952581209974,0.7905905162419954
0.68,122612,0.9146494633477963,0.7992989266955931
0.7,120084,0.9196312581193165,0.8092625162386334
0.72,117503,0.9244359718475273,0.8188719436950551
0.74,114845,0.92899124907484,0.8279824981496805
0.76,111825,0.9337178627319472,0.837435725463895
0.78,108600,0.9383425414364641,0.8466850828729288
0.8,105127,0.9429927611365301,0.8559855222730607
