split,best_c,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual
1,0.5,0.8063236627379873,0.9194791935029984,0.4396157605863948,0.14279463157515732,24.69763080701583,0.4508603770649991,0.5835222121486854
2,0.2,0.8385183527305282,0.9217302236988381,0.35096198378645166,0.11174933961436594,21.323891369064306,0.5575910453156121,0.5838182632050134
3,0.2,0.8453075145780614,0.945899296370835,0.3402085540193401,0.10742807717586025,21.033023895683765,0.5825829845155471,0.7082187259324458
4,0.2,0.8601559925299351,0.9364219381880702,0.3485143956503333,0.10526583233489219,19.898071286187978,0.556592250943623,0.6461606063934966
5,0.2,0.8546127115794193,0.9471055612558833,0.2943570852691427,0.09436847290158183,18.794432884782616,0.5436900171155464,0.5193363972648806
6,0.2,0.8890157570221512,0.9705673772590415,0.22959625468935735,0.07190018695024235,16.399665065476444,0.43461552216773136,0.3958666362183147
7,0.2,0.8582559871662656,0.9344230846153231,0.33072744421654526,0.10272603683958924,18.61145405240076,0.4191779320848107,0.4382949467170849
8,0.2,0.8213259795472826,0.9067179897290261,0.4372599376483007,0.1291699942348269,20.53046103290007,0.5178515030291161,0.5609559921866023
9,0.2,0.9141232447487525,0.9563019840089059,0.26643868994973785,0.0703544757043077,15.462303551371889,0.5287414554748237,0.5312753858651503
10,0.2,0.9442848937392303,0.9814637777556788,0.20424440441675104,0.056448584632743506,15.420860983656329,0.441588400432252,0.4460654796094199
11,0.2,0.9516347237880496,0.9870893890406085,0.17897231299855607,0.048112277065303855,13.752967197763475,0.4573715705408067,0.4160090191657272
12,0.2,0.9037196643229757,0.9649905459047416,0.2484187511697041,0.07412468038718334,16.94650115761222,0.4677482413755758,0.4779995463823996
13,0.2,0.8325278183657413,0.9233854567668252,0.3358869240024424,0.11126286878604749,21.32524819878388,0.40381234811632327,0.39327863324716195
14,0.2,0.8443379689143391,0.9409002296233298,0.2988561168172486,0.09962413495994007,18.633270039572388,0.42325680450028275,0.4096061703868178
15,1.0,0.8365234139882027,0.9244942278931402,0.3515195208616065,0.11264397479370336,20.783365494546597,0.48712697164683705,0.46936318767304686
16,2.0,0.836840289755088,0.928393512385759,0.34439151320076494,0.11088240130455085,21.670874708206764,0.49359589657714675,0.45199494078417846
17,1.0,0.8610650887573964,0.9553713539936272,0.2839715615699583,0.09081615075187555,18.863950482286306,0.5637844741429615,0.5153846153846153
18,1.0,0.8749688667496887,0.9678853145784048,0.2774429743996189,0.08744042557747565,18.203171146223195,0.6271446979266887,0.5455790784557908
19,2.0,0.9201052505681139,0.9707227123281211,0.2303274991465793,0.06672025180109821,15.774264159453722,0.5302649462271758,0.5058007415380935
20,0.5,0.9182411542425284,0.969930688619213,0.22185221539929473,0.06372439092517003,14.400484153639132,0.47604527724543444,0.47612504294057023
21,0.5,0.893880357552143,0.9502509775306235,0.29195380298640017,0.08549683532232791,17.03187556589868,0.5125211099333853,0.5553518221407289
22,1.0,0.8419900955890821,0.8924664003098652,0.42851082027370335,0.12972165973673208,22.30784227071858,0.4568700255811068,0.49522054589427617
23,0.5,0.7779783393501805,0.8591324020114984,0.5207672182185357,0.1659596261585239,26.15456300114627,0.46047508731836,0.5236913357400722
24,0.2,0.7909542195256482,0.9066655413837144,0.46196175453232347,0.14818317990663657,23.473095336007848,0.4511046756946713,0.5621621621621622
25,1.0,0.8708248125426039,0.94925055512501,0.28245462209259925,0.09082142710664508,17.64379174301208,0.42892851343025973,0.4467166553056124
26,1.0,0.8840914338489956,0.9566090361289877,0.29551003980525314,0.09052852902927173,17.509954042468408,0.4768143097727913,0.552990071577003
27,0.2,0.828813748465573,0.9434188880592875,0.3797263233786196,0.12315206741666232,22.85412684268021,0.5254553488034559,0.6663318826023882
28,0.2,0.8249416472157386,0.9170759988736086,0.3721166162567595,0.12219861557696363,22.915327930057966,0.49421089172019905,0.5421807269089697
29,0.2,0.8394607843137255,0.9161544547232493,0.39892294600795764,0.12124514541264107,21.91315585651655,0.5349811659306974,0.4789438502673797
30,0.2,0.8151047409040794,0.891775715232222,0.43375136544150333,0.13579199067421194,23.476709091330036,0.6015364606013484,0.5619625137816979
31,2.0,0.7899057127010538,0.886634098020667,0.43693508354218247,0.14542448646553752,24.95775665490078,0.5267272100807506,0.562063227953411
32,2.0,0.7392199473864806,0.8511951686387244,0.5310437648073576,0.1743499881624799,28.84753896923836,0.4506182684890381,0.5413473636051699
33,1.0,0.717062383612663,0.8283800755965449,0.5345964224697195,0.17843437706322104,30.045914651026784,0.43772839612242714,0.4585661080074488
34,0.2,0.7945446031374386,0.8947387309468419,0.39440995384069905,0.12988041284370358,25.552168697854583,0.4294930492579953,0.3555373448841021
