model,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,brier_mean,brier_std,calibration_gap_pp_mean,calibration_gap_pp_std
7day_logistic_baseline,0.792825748968118,0.043964129598718406,0.8858186337376858,0.04793842357662824,0.4603023499807916,0.07276961575323987,0.14739012577783753,0.0253354670175387,25.580898942485963,3.8787406589414175
polymarket,0.7953920169057168,0.042776928362827274,0.8889938780195058,0.039740152732515445,0.4197884155873894,0.047843745304779306,0.138484843019363,0.01880463834940979,28.09320847920898,3.0555894859525075
