split_idx,test_start,test_end,train_rows,test_rows,model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual,best_shrinkage_lambda,enh_calib_holdout_log_loss,enh_calib_holdout_brier,enh_calib_holdout_gap_pp
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_baseline,0.8074294205052006,0.8841143453157791,0.4514435276573279,0.1410794014043138,23.791622934708023,0.45735056991560485,0.47340267459138186,,,,
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_enhanced,0.8093610698365528,0.8835496126889792,0.538681522679523,0.14329607423089658,23.542331422304283,0.4435421017550866,0.47340267459138186,1.0,0.34339517325485436,0.10629176258090764,21.447207298517448
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,0.4905928276483639,0.47340267459138186,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_baseline,0.8231559854897219,0.9325655872598294,0.4650221243378505,0.13977126913974905,21.71528136166802,0.4060546453348889,0.5568319226118501,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_enhanced,0.8246674727932285,0.9150776263418521,0.45784007607418425,0.13566887526900598,23.33488400430488,0.41694814474613323,0.5568319226118501,1.0,0.3749527548584444,0.12067387477492765,24.132201499043912
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,polymarket,0.8192261185006046,0.9262284974070238,0.3954028313511535,0.12893602742193555,24.674219001078733,0.4384537620841353,0.5568319226118501,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_baseline,0.8317511044271078,0.936497557346234,0.3501224335910609,0.11510448173135593,21.953498253367993,0.5191623452843445,0.6131215339787573,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_enhanced,0.8459441676849327,0.9268951629183244,0.35949470744921447,0.11628205643882522,24.265667954404936,0.5360017686519418,0.6131215339787573,1.0,0.4008989362857013,0.13042173823651,26.038389170701176
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,polymarket,0.8369207632296268,0.919142953385993,0.3680457237570901,0.11936080386192001,25.84045232161442,0.5510353781736814,0.6131215339787573,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_baseline,0.7937458416500333,0.8684708108033693,0.4817927134495802,0.1499770296305751,25.28993007445626,0.5827687600286955,0.5554816293339248,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_enhanced,0.7898277519036002,0.8671505633632675,0.6089442692210926,0.14913771064210646,26.556177670835307,0.5969735627515057,0.5554816293339248,1.0,0.3518065293782394,0.11716396637254879,23.418226397009374
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,polymarket,0.7902713092333851,0.8715795264107254,0.43815312239453535,0.1446061878552124,27.975440370832494,0.5817910497483467,0.5554816293339248,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_baseline,0.7106493904776509,0.8073799448599063,0.5740644517590094,0.19209219914829426,31.51589176886278,0.4477565809031147,0.4736640343479261,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_enhanced,0.706355899716323,0.8001442399398094,0.57198521872295,0.19188885624592858,33.560176147916984,0.48373123263368956,0.4736640343479261,1.0,0.40340048727396133,0.1288306815899857,25.754086910058387
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,polymarket,0.7161695928850724,0.8189962644979707,0.5024818488451389,0.17210528248803206,32.960531897770856,0.4721929808742386,0.4736640343479261,,,,
