model,n_splits,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,brier_mean,brier_std,calibration_gap_pp_mean,calibration_gap_pp_std
7day_logistic_baseline,5,0.7933463485099429,0.04847891065533156,0.8858056491170236,0.052938902498944916,0.4644890501589657,0.07993181189253895,0.14760487621085763,0.02804002441379571,24.853244878612617,3.9988730981522105
7day_logistic_enhanced,5,0.7952312723869275,0.05377259692628387,0.8785634410504466,0.04993477709410288,0.5073891588293928,0.09974114470304837,0.14725471456535255,0.027861085471979977,26.25184743995328,4.28075189297086
polymarket,5,0.7955041838128285,0.04737327221800076,0.8883034927133684,0.044075790358726344,0.41777843977103196,0.05396946277409009,0.13808061357337725,0.02118517564563198,27.570437262850426,3.2389963820986374
