model,edge_threshold_pp,fee_per_side,trades,trade_rate,gross_pnl,net_pnl,avg_net_pnl_per_trade,avg_edge_abs,win_rate
7day_baseline,2,0.0,41722,0.7729588528447302,882.0498272640405,882.0498272640405,0.021141120446384172,0.11743793850133204,0.6507358228272854
7day_baseline,3,0.0,37985,0.7037256609296553,806.7056957339204,806.7056957339204,0.021237480472131642,0.12655357452025515,0.6510464657101488
7day_baseline,4,0.0,34938,0.6472756914982307,796.154547815828,796.154547815828,0.02278763947037117,0.1345310774771808,0.6535004865762207
7day_baseline,5,0.0,32187,0.5963095392481983,793.9961176636567,793.9961176636567,0.024668223744482454,0.14218869505628975,0.6552645477988007
7day_baseline,6,0.0,29633,0.548993089649295,761.3053963592397,761.3053963592397,0.02569113476054533,0.14971806954194805,0.6551817230789998
7day_baseline,7,0.0,27302,0.5058080293458325,676.4372684979834,676.4372684979834,0.024776106823602057,0.15696556825348426,0.6536517471247527
7day_baseline,8,0.0,25005,0.46325286696185414,629.0765545810527,629.0765545810527,0.025158030577126685,0.16450522641655185,0.6509498100379923
7day_baseline,9,0.0,22849,0.4233099283027956,621.9224327251904,621.9224327251904,0.027218803130342268,0.1720119609894976,0.6494376121493282
7day_baseline,10,0.0,20825,0.38581247568408766,623.7401865473439,623.7401865473439,0.029951509558095744,0.17949755095359912,0.6487875150060024
7day_enhanced,2,0.0,42456,0.7865572373418308,708.9596469112798,708.9596469112798,0.01669869151383267,0.1055186024916689,0.563336159788958
7day_enhanced,3,0.0,37384,0.6925912888823017,690.8440107952522,690.8440107952522,0.018479670736016803,0.1164477076027309,0.5729991440188316
7day_enhanced,4,0.0,33463,0.6199492376382534,712.0458517553052,712.0458517553052,0.021278601791689482,0.1259687380759239,0.5796252577473627
7day_enhanced,5,0.0,29380,0.5443059080719566,648.6756734439545,648.6756734439545,0.022078818020556654,0.13721349116365925,0.5970388019060585
7day_enhanced,6,0.0,26295,0.4871519350834615,605.8773339078864,605.8773339078864,0.02304154150628965,0.1468724661724058,0.5997337896938582
7day_enhanced,7,0.0,23601,0.437241788169035,605.4162508144516,605.4162508144516,0.02565214401145933,0.15620742087149178,0.6011185966696326
7day_enhanced,8,0.0,21239,0.39348240917427796,597.5601065358447,597.5601065358447,0.028135039622197124,0.16523044536919998,0.6047365695183389
7day_enhanced,9,0.0,18896,0.3500750319580562,595.0695024706096,595.0695024706096,0.031491823797132175,0.17519291322589206,0.6110817104149027
7day_enhanced,10,0.0,16861,0.3123737888359857,568.5464427826844,568.5464427826844,0.033719615846194435,0.18487749241340223,0.6145542968981673
