delta_gap_pp,achieved_edge_pp,model_gap_pp,threshold_pp,trades,trade_rate,total_pnl_per_1_notional,avg_pnl_per_trade
3,2.9999999999999996,25.164433984754307,0.0,53977,1.0,15202.316531950832,0.28164433984754306
3,2.9999999999999996,25.164433984754307,2.0,29542,0.547307186394205,13700.190487562191,0.46375297838880886
3,2.9999999999999996,25.164433984754307,5.0,12850,0.23806436074624376,8285.564502487563,0.6447910118667364
4,4.0,24.164433984754304,0.0,53977,1.0,15202.316531950832,0.28164433984754306
4,4.0,24.164433984754304,2.0,32719,0.6061655890471868,14221.520064676619,0.43465631787880493
4,4.0,24.164433984754304,5.0,19456,0.36044982122014935,10981.54907960199,0.5644299485815167
5,5.0,23.164433984754304,0.0,53977,1.0,15202.316531950832,0.28164433984754306
5,5.0,23.164433984754304,2.0,35128,0.6507957092835838,14523.826074626866,0.4134543974785603
5,5.0,23.164433984754304,5.0,23777,0.44050243622283564,12346.436542288558,0.5192596434490709
6,5.999999999999999,22.164433984754304,0.0,53977,1.0,15202.316531950832,0.28164433984754306
6,5.999999999999999,22.164433984754304,2.0,36937,0.6843099838820238,14706.294805970148,0.3981453503524961
6,5.999999999999999,22.164433984754304,5.0,26752,0.4956185041777053,13110.395572139305,0.49007160481980055
7,6.999999999999999,21.164433984754307,0.0,53977,1.0,15202.316531950832,0.28164433984754306
7,6.999999999999999,21.164433984754307,2.0,37843,0.7010949107953388,14784.264497512439,0.3906736912378099
7,6.999999999999999,21.164433984754307,5.0,28769,0.5329862719306371,13549.467378109452,0.47097456908858326
8,7.999999999999997,20.164433984754307,0.0,53977,1.0,15202.316531950832,0.28164433984754306
8,7.999999999999997,20.164433984754307,2.0,38743,0.7177686792522742,14852.910014925375,0.38337015757492643
8,7.999999999999997,20.164433984754307,5.0,30131,0.5582192415287993,13808.46668159204,0.45828106208197666
9,8.999999999999998,19.164433984754307,0.0,53977,1.0,15202.316531950832,0.28164433984754306
9,8.999999999999998,19.164433984754307,2.0,39677,0.7350723456286937,14914.66302487562,0.37590198414385206
9,8.999999999999998,19.164433984754307,5.0,31466,0.5829519980732534,14033.41683084577,0.4459866786641381
10,10.0,18.164433984754307,0.0,53977,1.0,15202.316531950832,0.28164433984754306
10,10.0,18.164433984754307,2.0,39915,0.7394816310650832,14928.94352238806,0.3740183771110625
10,10.0,18.164433984754307,5.0,32719,0.6061655890471868,14221.520064676619,0.43465631787880493
