split,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual
1,0.8028455284552846,0.8993101540906033,0.4044273348275831,0.13353753250768077,25.248609604778565,0.5129152447487386,0.5632339656729901
2,0.8531639928698752,0.9282859537228308,0.33614592232456675,0.1048176655109966,21.71091030258867,0.6076831684018642,0.5853386809269162
3,0.8764563640360519,0.9412991350643785,0.30384169455282706,0.09446959090031969,20.332683912265175,0.64503778902811,0.7289514178940426
4,0.8726072607260726,0.9337841846337913,0.31835360693246234,0.0990753164663351,21.232797766993198,0.6093207056029042,0.6250825082508251
5,0.8786244099797708,0.9622491888195324,0.27953819084632126,0.08752405761307408,19.74524525962514,0.5555577527748494,0.4983142279163857
6,0.8963064923147511,0.9693385546226172,0.25303766299771163,0.07611489158909195,17.421848158229174,0.4552549895505493,0.3971094287680661
7,0.8476365305185866,0.9107558277548309,0.4067481072397473,0.11664653701131257,20.91965124164677,0.45850377042747925,0.46030289123451124
8,0.8030233623453963,0.9019287695149653,0.4312231192192653,0.13108412986837925,22.350580370376377,0.5363543866245579,0.6016949152542372
9,0.9005102040816326,0.9776668206396217,0.22266036422037444,0.06732771912176422,16.216136224893013,0.5156197802460338,0.5507884972170687
10,0.9437299035369775,0.9833390482111364,0.2061963239141691,0.05695636641219206,16.070280422456364,0.45710771288029456,0.44441892512632064
11,0.9429469901168014,0.9884114091031846,0.2014594218529646,0.056068383371224634,15.643058604796003,0.48296619822611836,0.41554357592093444
12,0.8949988685222902,0.9608032857210299,0.26569200392628306,0.0805726575907637,18.62012313976966,0.4968419854364031,0.47748359357320663
13,0.8390804597701149,0.9257371626241564,0.33108937788725884,0.10866245487353819,22.259912659736045,0.41745601205425936,0.39260761775974756
14,0.848662599718442,0.9408184628102144,0.2989222684402906,0.0982485589212101,19.863981873547488,0.4403310808764045,0.4298451431252933
15,0.8382958121520213,0.917156924808328,0.360808454208054,0.11659008685831979,22.66301641846046,0.5034706771877703,0.4916485112563544
16,0.8459409594095941,0.9260438224940726,0.3439503930377436,0.10993023909821227,22.86680968642949,0.46173531585324645,0.43150369003690037
17,0.8662088562633199,0.9528122166530217,0.2864720008784036,0.0899075257587689,20.186177249209265,0.5294556225242103,0.5166942931565238
18,0.8776179661872319,0.9596767699856361,0.2706868086541538,0.0833459083103029,19.10844190500198,0.601081566898875,0.5697703759777946
19,0.912780864943223,0.9697180417592082,0.24291258923517164,0.06942242416420086,17.71718875272291,0.529519980725085,0.5262140613674801
20,0.9131326949384405,0.9647542507394403,0.24713689139923634,0.06961728919377823,16.90578098002614,0.47407664927331433,0.47606019151846785
21,0.8927430397078959,0.9436991074785975,0.30895949398164474,0.08941322972929729,19.06225751679757,0.5100538812694063,0.5540848927430397
22,0.8676979912260447,0.9158756936831643,0.3664591086233375,0.10917931935363784,22.290165758101498,0.47285114309445053,0.49411221426922186
23,0.8219705549263873,0.9051802827884833,0.38675652153463724,0.12293761991281785,23.71624994957623,0.478383291059694,0.5028312570781427
24,0.8169169611307421,0.9254980580860582,0.3510825136177988,0.11578491810101289,22.55329353728571,0.5082489709246938,0.5616166077738516
25,0.8617239026609051,0.9471290256773326,0.29320659955624345,0.09279614762604012,19.605233176319935,0.4562573538519863,0.4680463952695019
26,0.8752593958957805,0.9505154083956542,0.2991512280273085,0.09312424888677771,19.645891649094466,0.5318841513461263,0.5955729767120129
27,0.8511918021831143,0.9456878079915121,0.3226411815203626,0.10307791282200239,22.43809543171757,0.5875306352181612,0.6856760971263087
28,0.8359236234458259,0.914421106557377,0.3668310180773809,0.11753879177210369,23.627505654222308,0.5253307773249749,0.5417406749555951
29,0.8406055209260909,0.9171588526861413,0.3956322146405201,0.12243669101267214,23.002518502060884,0.5561053514508489,0.47929652715939447
30,0.8131892368769299,0.896778802968122,0.4100012008047541,0.1323623647302542,24.440564986393802,0.608914611676088,0.5621967357741509
31,0.7909717589504114,0.8887467131628163,0.4143195784400194,0.13963099050441236,25.76285939233904,0.5505259788538112,0.5619301756726707
32,0.7397701149425288,0.843276669871917,0.49535459937202164,0.16847262651905576,30.259391453877672,0.4886576357603844,0.5418390804597701
33,0.7262099602525135,0.8215475933111747,0.5199502506232735,0.17582572803562727,31.840649105699864,0.4783633150299067,0.45896656534954405
34,0.8014567669172933,0.9056755391295092,0.4025940113713835,0.13118393290498037,27.231949397133125,0.457680044836128,0.35408834586466165
