model,n_splits,test_rows_total,accuracy_mean,accuracy_weighted,accuracy_std,roc_auc_mean,roc_auc_weighted,roc_auc_std,log_loss_mean,log_loss_weighted,log_loss_std,brier_mean,brier_weighted,brier_std,calibration_gap_pp_mean,calibration_gap_pp_weighted,calibration_gap_pp_std,ece_10bin_pp_mean,ece_10bin_pp_weighted,ece_10bin_pp_std
7day_logistic_baseline,5,53977,0.7933463485099429,0.7863719732478648,0.04847891065533156,0.8858056491170236,0.874946085216989,0.052938902498944916,0.4644890501589657,0.46954088444481484,0.07993181189253895,0.14760487621085763,0.15043604712489098,0.02804002441379571,6.279663095734664,4.486148364816206,5.813451189971123,9.798183412202373,8.810597286480956,3.567605243736661
7day_logistic_enhanced,5,53977,0.7942950921035138,0.7875206106304538,0.05173056938413657,0.8855325934620101,0.8758930594728862,0.05124140942807923,0.4501176211491894,0.45706600672793396,0.07069056314805428,0.14428605734469205,0.14687652723344624,0.025233944401004047,5.89662911594693,4.202564484046868,5.479631021300739,8.36122757206547,7.225236000743658,3.6540785093432775
polymarket,5,53977,0.7955041838128285,0.7894844100264926,0.04737327221800076,0.8883034927133684,0.8800734658911309,0.044075790358726344,0.41777843977103196,0.4239569408123238,0.05396946277409009,0.13808061357337725,0.14052412374150308,0.02118517564563198,4.508698865557646,3.072759707256895,4.66201347741105,6.68750233274757,5.658406387478581,3.324310283329349
