elapsed_bucket,samples,actual_up_rate,lr_accuracy,pm_accuracy,lr_roc_auc,pm_roc_auc,lr_log_loss,pm_log_loss,lr_brier,pm_brier,lr_calib_gap_pp,pm_calib_gap_pp
100-129s,4439,0.5066456409101149,0.6979049335435908,0.6963280018022077,0.764191898581003,0.7632452576589087,0.578946125128815,0.5813677797644141,0.19825760795185335,0.198846276022612,2.497553591525059,1.6051797780639476
130-159s,4439,0.5066456409101149,0.7150259067357513,0.7172786663662987,0.7969346091921117,0.7963009434939121,0.5435952076516053,0.5440690417916557,0.18430051681028306,0.18419920320776778,2.1930716621521573,1.3202202548868613
160-189s,4437,0.5066486364660807,0.7595221996844715,0.7703403200360605,0.8556087213810886,0.856302399249564,0.4635478850218643,0.46494935436923174,0.15516040904849288,0.1546214638459607,1.5496296568304424,0.8834136731263653
190-219s,4438,0.5069851284362326,0.8105002253267237,0.8123028391167192,0.8997594962421288,0.9000089376396507,0.3953028578609148,0.3976362858882182,0.1289079302239032,0.12887327775590102,1.0502217331686992,0.438352289924826
220-249s,4436,0.5072137060414789,0.84107303877367,0.8406221821460775,0.924860628240317,0.9248022771170072,0.3479832456641576,0.3479187442464448,0.1100304758218475,0.10992776766474696,0.9626888274023249,0.49516467915964313
250-290s,5948,0.5068930733019502,0.8838264963012777,0.8839946200403497,0.9620875054209574,0.9618300134739419,0.2465657821772753,0.2474338159755736,0.07881221117761766,0.07905123649896495,0.683026878096038,0.36545106789900306
