model,accuracy,accuracy_95ci,roc_auc,roc_auc_95ci,log_loss,log_loss_95ci,brier,brier_95ci,calibration_gap_pp,calibration_gap_pp_95ci,ece_10bin_pp,precision,recall,f1
Logistic_Regression (Fitted),0.7899562853182642,"[0.7559, 0.8212]",0.8842850119753007,"[0.8538, 0.9113]",0.41952958650167654,"[0.3751, 0.4673]",0.1391614553055107,"[0.1223, 0.1571]",1.4461885719694423,"[0.07, 5.23]",2.3722349902837325,0.7814248163375346,0.8129864665871959,0.7968932572685408
Polymarket_Raw_Implied_Prob,0.7920176280342609,"[0.7581, 0.8224]",0.8839860539448148,"[0.8540, 0.9105]",0.42074876710010045,"[0.3791, 0.4650]",0.13918222469081754,"[0.1233, 0.1567]",0.8252911875904378,"[0.07, 4.68]",2.473638240502404,0.7884338341222473,0.8059042142907229,0.7970733060545114
Majority_Class_Baseline,0.5068415253936098,N/A,0.5,N/A,0.6930592384229739,N/A,0.2499560300192923,N/A,0.1684187935992787,N/A,0.1684187935992787,0.5068415253936098,1.0,0.6727204113401576
