split_idx,test_start,test_end,train_rows,test_rows,model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual,best_shrinkage_lambda,enh_calib_holdout_log_loss,enh_calib_holdout_brier,enh_calib_holdout_gap_pp
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_baseline,0.8077265973254086,0.8966826021079808,0.40490168821160516,0.13007855989030118,24.938464556955324,0.46359104794320544,0.47340267459138186,,,,
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,7day_logistic_enhanced,0.8101040118870728,0.9004230424373565,0.4136217473374431,0.13387123838843346,23.75886554059538,0.442543929675115,0.47340267459138186,1.0,0.3566470074516244,0.10955072113578318,22.0776725496037
1,2026-03-02T11:51:41+00:00,2026-03-02T17:51:41+00:00,155869,13460,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,0.4905928276483639,0.47340267459138186,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_baseline,0.8881499395405078,0.9460537288936487,0.34781286588950244,0.1023960701649001,21.81367814243867,0.4538307272367981,0.5568319226118501,,,,
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,7day_logistic_enhanced,0.8551995163240629,0.9402354564482227,0.3562563661238743,0.10865289884743866,22.419732559353783,0.4477319421084525,0.5568319226118501,1.0,0.37241756074043486,0.11720481141709539,23.428470198959246
2,2026-03-02T17:51:41+00:00,2026-03-02T23:51:41+00:00,155879,3308,polymarket,0.8192261185006046,0.9262284974070238,0.3954028313511535,0.12893602742193555,24.674219001078733,0.4384537620841353,0.5568319226118501,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_baseline,0.8274273897922737,0.9061673003666326,0.41569085277316986,0.1328383989161662,25.21593259152696,0.5155931699550595,0.6131215339787573,,,,
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,7day_logistic_enhanced,0.8279913525707303,0.8973658581498344,0.5122984044190318,0.13468740396163073,25.206337840497067,0.5235205443027263,0.6131215339787573,1.0,0.37938276934522874,0.12125795650532224,24.25805561014034
8,2026-03-04T05:51:41+00:00,2026-03-04T11:51:41+00:00,130486,10639,polymarket,0.8369207632296268,0.919142953385993,0.3680457237570901,0.11936080386192001,25.84045232161442,0.5510353781736814,0.6131215339787573,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_baseline,0.7983292673911436,0.8730846053938409,0.4503232110840359,0.14344847307599717,25.787216533412334,0.5867501053387253,0.5554816293339248,,,,
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,7day_logistic_enhanced,0.8023952095808383,0.8738099546625997,0.48337757974114803,0.1441100130144099,26.14397053821197,0.6036165975901391,0.5554816293339248,1.0,0.3730607453096969,0.11787638945092423,23.623559156429145
9,2026-03-04T11:51:41+00:00,2026-03-04T17:51:41+00:00,127900,13527,polymarket,0.7902713092333851,0.8715795264107254,0.43815312239453535,0.1446061878552124,27.975440370832494,0.5817910497483467,0.5554816293339248,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_baseline,0.72222648163766,0.7725111330598413,0.6323052473878409,0.20729478027410406,33.341134471804665,0.455538105221273,0.4736640343479261,,,,
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,7day_logistic_enhanced,0.7200797362569961,0.7765109708414865,0.5989539171670858,0.20242968302107947,34.47779315192278,0.48632054511175504,0.4736640343479261,1.0,0.41802130009311184,0.13207065470431964,26.45627900130596
10,2026-03-04T17:51:41+00:00,2026-03-04T23:51:41+00:00,127835,13043,polymarket,0.7161695928850724,0.8189962644979707,0.5024818488451389,0.17210528248803206,32.960531897770856,0.4721929808742386,0.4736640343479261,,,,
