model,n_splits,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,brier_mean,brier_std,calibration_gap_pp_mean,calibration_gap_pp_std
7day_logistic_baseline,5,0.8087719351373988,0.059684904150202396,0.8788998739643888,0.06504183218224503,0.4502067730692308,0.10826850835116866,0.14321125646429372,0.03889954248212923,26.219285259227593,4.27094872086884
7day_logistic_enhanced,5,0.8031539653239401,0.05068491288521638,0.8776690565079,0.06137612164929837,0.4729016029577166,0.09310109093194137,0.14475024744659842,0.03482082502360736,26.401339926116197,4.7317870249065574
polymarket,5,0.7955041838128285,0.04737327221800076,0.8883034927133684,0.044075790358726344,0.41777843977103196,0.05396946277409009,0.13808061357337725,0.02118517564563198,27.570437262850426,3.2389963820986374
