bucket,n_rows,model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual
100-129,17105,polymarket,0.8142063724057294,0.8943126076554002,0.4098626669468166,0.13217358277810223,27.249897007217633,0.5054928725271626,0.5055831628178895
100-129,17105,v2_hybrid,0.8070154925460392,0.8898453426634405,0.41655720728868717,0.1348524721971318,26.35409911489833,0.5089289697889896,0.5055831628178895
130-159,17114,polymarket,0.7748042538272759,0.8560688615549782,0.47147391852454157,0.1550584025790126,31.809207904616223,0.5080345683060682,0.507537688442211
130-159,17114,v2_hybrid,0.7647540025709945,0.8489178315409934,0.48350368585425835,0.158656321788419,30.983971612803646,0.5099898319565621,0.507537688442211
160-189,17074,polymarket,0.742766779899262,0.8206740072495471,0.5181443875046429,0.17331287330415854,35.66975666938821,0.5060431079346154,0.5072039358088322
160-189,17074,v2_hybrid,0.731931591894108,0.8109564450758688,0.5317798761108458,0.17758423308972193,34.738372456238736,0.5107936785584741,0.5072039358088322
190-219,5838,polymarket,0.7254196642685852,0.792348264118416,0.5474649746842688,0.18574287708033826,38.027150561001086,0.501855432498351,0.5042822884549504
190-219,5838,v2_hybrid,0.7086330935251799,0.777967228861813,0.5671185135249468,0.19217453584798533,37.160126190561,0.5098763411395533,0.5042822884549504
