fold,samples,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual
1,21704,0.8087910062661261,0.9038688122349312,0.3939430351581254,0.12857025205947323,25.125793066258485,0.5044377110850919,0.5508661997788427
2,21705,0.8245565537894495,0.9099686087041432,0.3827567191777132,0.12189840063720052,23.61012086788317,0.5104452614246372,0.49665975581663213
3,21704,0.8290176925912274,0.9179526237015498,0.36455588584002496,0.11825719356721193,23.900413034804785,0.5325915119915813,0.5047456690011057
4,21703,0.8025618578076763,0.8933116858180575,0.41172381108704365,0.13319875207738,25.862787915427845,0.5106540564375812,0.49896327696631804
5,21704,0.812338739402875,0.899080976744829,0.3951615076194257,0.12900146078441516,25.24715229294829,0.4835243903943933,0.47802248433468486
