model,n_splits,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,brier_mean,brier_std,calibration_gap_pp_mean,calibration_gap_pp_std
7day_logistic_baseline,5,0.6364453344215314,0.027794385947185765,0.6936944896445502,0.042846746352462085,0.6397180365227273,0.025847380894379993,0.22444731658332917,0.011766647471257514,44.83696225899546,1.787023015275934
7day_eth_perps_enhanced,5,0.6258330730478238,0.03199854863332817,0.6898615998344481,0.04226288134182457,0.6485939705667716,0.027629408037474563,0.228428679436906,0.012644314376299563,45.19056045252184,1.303658193925796
polymarket,5,0.7898889742543904,0.04149210401176536,0.8843877578519418,0.04022395803111099,0.42299662031856633,0.0458901325291717,0.14044786596029274,0.01761747129555848,27.85950457188516,2.972903426928913
