model,accuracy_mean,accuracy_std,auc_mean,auc_std,log_loss_mean,log_loss_std,brier_mean,brier_std,calib_gap_pp_mean,calib_gap_pp_std
baseline,0.6149674776682017,0.05122584793167804,0.6905484548433973,0.03190716799416955,0.6495254912578249,0.03169734421606162,0.22920579603280614,0.014846609302213437,44.58083900588268,2.126779535250483
polymarket,0.7946229858015144,0.047716606789078665,0.8871435300879164,0.04415882626278473,0.41952818215848087,0.05349096945464986,0.13868375798808003,0.02102154964417121,27.701247448807457,3.242645630223049
reduced,0.6135087623647912,0.061390829091481164,0.6888820119998654,0.03347793777341652,0.6528946709718106,0.040278323763580544,0.23074587611198588,0.018705289885960638,44.66073240950779,2.2646547086970585
