split,train_start,test_start,test_end,n_train,n_test,baseline_accuracy,baseline_auc,baseline_log_loss,baseline_brier,baseline_calib_gap_pp,reduced_accuracy,reduced_auc,reduced_log_loss,reduced_brier,reduced_calib_gap_pp,polymarket_accuracy,polymarket_auc,polymarket_log_loss,polymarket_brier,polymarket_calib_gap_pp
1,2026-02-23T11:51:43+00:00,2026-03-02T11:51:43+00:00,2026-03-02T17:51:43+00:00,160713,13680,0.6527046783625731,0.716762870326848,0.6163220716170735,0.2142817972856658,41.63803366369303,0.656140350877193,0.7192301794775416,0.6146428657878367,0.21374707480341612,41.5845671645958,0.8144005847953216,0.9045010586433259,0.3866785664686081,0.1260981817888596,26.516934616118043
2,2026-02-23T17:51:43+00:00,2026-03-02T17:51:43+00:00,2026-03-02T23:51:43+00:00,160717,3419,0.6063176367358877,0.6604578403232858,0.6653503385772208,0.23623277538274115,45.67157416017126,0.6051477040070196,0.6566353454170589,0.6687893485768549,0.23768552374029878,45.701215341404,0.8186604270254461,0.9253621064839351,0.3963205205287319,0.12921127910222632,24.784254520857633
8,2026-02-25T05:51:43+00:00,2026-03-04T05:51:43+00:00,2026-03-04T11:51:43+00:00,134881,10833,0.6396196806055571,0.7276302052508823,0.6410777760112182,0.22474086604689603,44.802600137513735,0.6484814917382073,0.7236854528899239,0.6392099214764886,0.22373408797893396,44.87999480457693,0.8358718729807071,0.9175035232977751,0.37141953021853563,0.12052486233163986,26.04425156742162
9,2026-02-25T11:51:43+00:00,2026-03-04T11:51:43+00:00,2026-03-04T17:51:43+00:00,132031,13681,0.6470287259703238,0.6905780013363894,0.6288147507092018,0.21936742995068043,43.543316214779395,0.6480520429793144,0.6920456492912983,0.6265492299826169,0.21845396331690747,43.53529050595948,0.7896352605803669,0.8708572041248035,0.4393022498497545,0.1449891438799212,28.048313767455156
10,2026-02-25T17:51:43+00:00,2026-03-04T17:51:43+00:00,2026-03-04T23:51:43+00:00,132032,13680,0.5291666666666667,0.657313356979581,0.6960625193744099,0.2514061114980472,47.24867085325596,0.5097222222222222,0.6528134329235048,0.7152819890352557,0.26010873072037305,47.602594231002705,0.714546783625731,0.8174937578897418,0.5039200437267743,0.17259532283775306,33.11248277218484
