subset_rank_key,subset_size,subset_features,model,accuracy_mean,roc_auc_mean,log_loss_mean,brier_mean,calibration_gap_pp_mean,n_splits
intra_candle_vwap_deviation,1,intra_candle_vwap_deviation,7day_logistic_baseline,0.7608187134502924,0.8375939298302788,0.5014985057814861,0.1632675402420691,30.86268745958935,1
intra_candle_vwap_deviation,1,intra_candle_vwap_deviation,7day_logistic_enhanced,0.7635233918128655,0.8418062571288903,0.48859958927283786,0.16119108768803003,31.740962989574573,1
intra_candle_vwap_deviation,1,intra_candle_vwap_deviation,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
tick_entropy_10s,1,tick_entropy_10s,7day_logistic_baseline,0.4722222222222222,0.5739451386327967,0.6938617728847237,0.25035727943675634,50.03195299639766,1
tick_entropy_10s,1,tick_entropy_10s,7day_logistic_enhanced,0.4722222222222222,0.5122288556040582,0.6957199885390981,0.25128578818177444,50.097392295785156,1
tick_entropy_10s,1,tick_entropy_10s,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
micro_price_acceleration,1,micro_price_acceleration,7day_logistic_baseline,0.4722222222222222,0.49773798701577143,0.6938987734945696,0.25037577693488344,50.03386295660499,1
micro_price_acceleration,1,micro_price_acceleration,7day_logistic_enhanced,0.4726608187134503,0.4947374531530063,0.6992410604365892,0.25214312579366815,50.12345917483266,1
micro_price_acceleration,1,micro_price_acceleration,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
micro_acceleration_decay_15s,1,micro_acceleration_decay_15s,7day_logistic_baseline,0.4722222222222222,0.5022367563441764,0.6939001512542246,0.25037646588357954,50.03391239435636,1
micro_acceleration_decay_15s,1,micro_acceleration_decay_15s,7day_logistic_enhanced,0.4735380116959064,0.4922241173040145,0.6992483969585337,0.2525632499940001,50.13671858190026,1
micro_acceleration_decay_15s,1,micro_acceleration_decay_15s,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
