feature_dropped,model,n_features_used,impact_accuracy,impact_roc_auc,impact_log_loss,impact_brier,impact_calibration_gap_pp,full_accuracy,drop_accuracy,full_roc_auc,drop_roc_auc,full_log_loss,drop_log_loss,full_brier,drop_brier,full_calibration_gap_pp,drop_calibration_gap_pp,helpfulness_score
return_from_candle_open,7day_logistic_baseline,24,-0.0031625712808548423,0.005333006108355298,-0.001323625713013421,-0.0006308834476834169,1.3547351900460711,0.8004138506648351,0.8035764219456899,0.8877290287798736,0.8823960226715183,0.45214304178541703,0.4508194160724036,0.1444841410242938,0.14385325757661038,24.766703607265363,26.121438797311434,0.01376327756726433
intra_candle_vwap_deviation,7day_logistic_baseline,24,0.0023141724918331885,0.0011061782286139188,0.004467142284618308,0.0018318575718606622,0.20847008173358006,0.8004138506648351,0.7980996781730019,0.8877290287798736,0.8866228505512597,0.45214304178541703,0.45661018407003534,0.1444841410242938,0.14631599859615446,24.766703607265363,24.975173688998943,0.01180405139426188
trend_mean_60s,7day_logistic_baseline,24,0.0005260760100687101,0.0007481271326648109,0.0024171847147954617,0.0009058857071012616,0.07404980075537537,0.8004138506648351,0.7998877746547663,0.8877290287798736,0.8869809016472088,0.45214304178541703,0.4545602265002125,0.1444841410242938,0.14539002673139506,24.766703607265363,24.84075340802074,0.005337771572183998
time_below_open_pct,7day_logistic_baseline,24,0.001300447102147051,0.00033607261245316433,0.0007225876908726336,0.0004836760776994742,0.05977719205804988,0.8004138506648351,0.799113403562688,0.8877290287798736,0.8873929561674204,0.45214304178541703,0.45286562947628967,0.1444841410242938,0.14496781710199327,24.766703607265363,24.826480799323413,0.0034405554037528216
time_in_profit_pct,7day_logistic_baseline,24,0.0007702948851698865,0.00023776395285779461,0.00033379609177502934,0.0003156620376389696,0.041697552189020826,0.8004138506648351,0.7996435557796652,0.8877290287798736,0.8874912648270158,0.45214304178541703,0.45247683787719206,0.1444841410242938,0.14479980306193277,24.766703607265363,24.808401159454384,0.002074492489331888
tick_entropy_10s,7day_logistic_baseline,24,0.00035703902561889933,8.812054376572398e-05,0.0001688999765402932,9.223353329379513e-05,0.007394027619280763,0.8004138506648351,0.8000568116392162,0.8877290287798736,0.8876409082361079,0.45214304178541703,0.4523119417619573,0.1444841410242938,0.1445763745575876,24.766703607265363,24.774097634884644,0.0007802333554115193
log_return_1s,7day_logistic_baseline,24,0.00040454756370156275,4.240466847660329e-06,1.468082777805746e-05,4.107466383684866e-06,-0.002063503640357567,0.8004138506648351,0.8000093031011335,0.8877290287798736,0.8877247883130259,0.45214304178541703,0.4521577226131951,0.1444841410242938,0.14448824849067748,24.766703607265363,24.764640103625005,0.00040694128830738975
kinetic_energy_10s,7day_logistic_baseline,24,0.00027507848473640184,-1.156091163145856e-05,-1.3203314071841277e-05,2.668616332146545e-05,-0.0015263840658299443,0.8004138506648351,0.8001387721800987,0.8877290287798736,0.887740589691505,0.45214304178541703,0.4521298384713452,0.1444841410242938,0.14451082718761527,24.766703607265363,24.765177223199533,0.000261736581696268
tte_high_ratio,7day_logistic_baseline,24,1.4858841010378931e-05,-1.239291814825183e-05,4.71403225604794e-06,-6.143222708254736e-06,-0.001942563529230057,0.8004138506648351,0.8003989918238247,0.8877290287798736,0.8877414216980218,0.45214304178541703,0.4521477558176731,0.1444841410242938,0.14447799780158554,24.766703607265363,24.764761043736133,-1.8388902882380264e-05
dynamic_wick_to_body_ratio,7day_logistic_baseline,24,-1.5333895576064016e-05,-3.2734268101686226e-06,2.1659590108968896e-05,-1.302378479728361e-06,-0.0030335694495775556,0.8004138506648351,0.8004291845604111,0.8877290287798736,0.8877323022066838,0.45214304178541703,0.452164701375526,0.1444841410242938,0.14448283864581407,24.766703607265363,24.763670037815785,-2.858580525276766e-05
