model,n_splits,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,brier_mean,brier_std,calibration_gap_pp_mean,calibration_gap_pp_std
7day_logistic_baseline,5,0.8004138506648351,0.050593171094334394,0.8877290287798736,0.05542325632747644,0.45214304178541703,0.08663964198174963,0.1444841410242938,0.03138957806205543,24.766703607265363,4.163964790932206
7day_logistic_enhanced,5,0.7979402765407094,0.04938814983283403,0.8806599777879717,0.05316664522543247,0.5069188268361688,0.11304379484970967,0.14624646561323726,0.030519590668736007,25.91537202083914,4.408516677785982
polymarket,5,0.7955041838128285,0.04737327221800076,0.8883034927133684,0.044075790358726344,0.41777843977103196,0.05396946277409009,0.13808061357337725,0.02118517564563198,27.570437262850426,3.2389963820986374
