model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual
polymarket,0.8205864779151537,0.9057949707016055,0.38637249136707913,0.12485366878941008,25.49372002250067,0.5049791224070136,0.5058096244886703
logistic_regression,0.8176402996736682,0.8962359647991481,0.4075402891792189,0.13022387919571243,26.094071168924216,0.5062234765789947,0.5058096244886703
