bucket,model,accuracy,roc_auc,log_loss,brier,calibration_gap_pp,mean_pred,mean_actual,n_rows
100-129,polymarket,0.7356944946392001,0.8075005399721653,0.5327781599317547,0.17933807050760306,36.8656787589579,0.504385843190984,0.5071678111070955,33204
100-129,logistic_regression,0.7310263823635706,0.8044245130525208,0.5516582130055357,0.1828420464604533,33.62621105227708,0.5075006197671712,0.5071678111070955,33204
130-159,polymarket,0.7580654553924994,0.839836377924138,0.49361870791139256,0.16368975228151578,33.51383094427699,0.5080286996765531,0.507191940368041,34344
130-159,logistic_regression,0.7523293733985558,0.8338019020809804,0.5128429624857981,0.16807764549016188,31.043277963623467,0.5095556910195836,0.507191940368041,34344
160-189,polymarket,0.8009789354077441,0.8816962070286585,0.4318835447318136,0.14017135832149533,28.867519567909365,0.5072858188154876,0.5052005943536404,34323
160-189,logistic_regression,0.7979780322232906,0.8756406688254167,0.4443399811188287,0.1435565180408997,27.531006960421916,0.5057350869499408,0.5052005943536404,34323
190-219,polymarket,0.8305366194721202,0.9102384321605633,0.38062411579957733,0.1206523224004696,24.64030387743196,0.5028807381115623,0.5053895006700461,34326
190-219,logistic_regression,0.8275942434306357,0.9052089015466392,0.3902833350181249,0.12383410198945302,24.85374668068135,0.5043283510096194,0.5053895006700461,34326
220-249,polymarket,0.862018797101871,0.936827458379196,0.3212002324701014,0.09924240701223976,20.03026176367027,0.5020770910586714,0.505252131405127,34367
220-249,logistic_regression,0.8598655687141735,0.9330008913559069,0.3348283253676656,0.10374823645206344,22.327412742271736,0.5044530191980241,0.505252131405127,34367
250-290,polymarket,0.9029911075181891,0.9696838535813569,0.22321246916960025,0.06860046846879704,13.75523777336181,0.5051398480843761,0.504999361783602,47006
250-290,logistic_regression,0.9027570948389567,0.966355227131183,0.26769371401077147,0.07968616843527043,19.76788835219053,0.5059216544962059,0.504999361783602,47006
