model,n_splits,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,brier_mean,brier_std,calibration_gap_pp_mean,calibration_gap_pp_std
7day_logistic_baseline,5,0.7647340864867797,0.04479973725162484,0.8591007174375992,0.061406885125936214,0.4839422778365675,0.07655386880845043,0.16048455159804997,0.030375142755607903,29.935550514042916,3.862927696986411
7day_logistic_enhanced,5,0.7642759335796212,0.05451042589485475,0.8520437195297157,0.06306384054712195,0.499951248828698,0.08428393733402054,0.1625586539365233,0.03363737563074657,30.38962572495047,4.055623305723186
polymarket,5,0.7955041838128285,0.04737327221800076,0.8883034927133684,0.044075790358726344,0.41777843977103196,0.05396946277409009,0.13808061357337725,0.02118517564563198,27.570437262850426,3.2389963820986374
